COLEGIO;MES;MES_GASTO;ORIGEN;CODIGO;ESTABLECIMIENTO;RBD;SUBVENCION;CODIGO_CUENTA;TIPO_DOCUMENTO;NUMERO_FACTURA;FECHA_DOCUMENTO;FECHA_PAGO;DESCRIPCION_GASTO;RUT_PROVEEDOR;NOMBRE_PROVEEDOR;MONTO_GASTO;MONTO_DOCUMENTO;MONTO_TOTAL;DOCUMENTO_ORIGINAL;CLAVE_CRUCE
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;112273.0;2025-01-07;2025-02-11;GESTION DE PERSONAS CONSIDERANDO 108 TRABAJADORES;76584218-2;TALANA LINQ SPA;148167.0;148167.0;148167.0;SI;76584218-2|112273|148167.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;112288.0;2025-01-07;2025-02-11;TURNOS CONSIDERANDO 100 TRABAJADORES;76584218-2;TALANA LINQ SPA;91461.0;91461.0;91461.0;SI;76584218-2|112288|91461.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;10037.0;2025-01-08;2025-03-19;DIFUSION RADIAL;78995330-9;COMUNICACIONES E INVERSIONES  LTDA;218166.0;218166.0;218166.0;SI;78995330-9|10037|218166.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;137505866.0;2025-01-09;2025-02-07;MANTENCION LICEO;96792430-K;SODIMAC S.A.;390583.0;390583.0;390583.0;SI;96792430-K|137505866|390583.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;137505867.0;2025-01-09;2025-02-07;BROCAS, SERUCHO, DISCO, SIERRA, ESMERIL;96792430-K;SODIMAC S.A.;209652.0;209652.0;209652.0;SI;96792430-K|137505867|209652.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;697361.0;2025-01-09;2025-01-09;BRAZO DUCHA, GOMA, PASTA SOLDAR, SOLDADURA;76051775-5;MAQUINARIAS Y CONSTRUCCIONES LA OLLETA LTDA.;476234.0;476234.0;476234.0;SI;76051775-5|697361|476234.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;684.0;2025-01-09;;DESM. LIMPIAR LLANTA TRACT.;77555419-3;FENIX SPA;17850.0;17850.0;17850.0;SI;77555419-3|684|17850.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;360.0;2025-01-10;2025-01-14;MANTENCION EQUIPOS CASINO PULLINQUE;11349522-7;ANTHONY ALEXIS CIFUENTES PROVOSTE;267572.0;267572.0;267572.0;SI;11349522-7|360|267572.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;50617977.0;2025-01-10;2025-03-17;MENSUALIDAD SERVICIOS CONTRATADOS;96806980-2;ENTEL PCS TELECOMUNICACIONES  S.A.;86937.0;86937.0;86937.0;SI;96806980-2|50617977|86937.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;251774.0;2025-01-13;2025-01-27;GUANTES, CEMENTO, FIERRO, PINO VERDE;76452633-3;FERRETERIA JARAMILLO LTDA;19950.0;19950.0;19950.0;SI;76452633-3|251774|19950.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;412.0;2025-01-14;2025-02-07;INTEGRAL;76479728-0;ARIDOS Y ARRIENDO DE MAQUINAS PATRICIO ONEL GARCIA SILVA E.I;119000.0;119000.0;119000.0;SI;76479728-0|412|119000.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;424258.0;2025-01-15;2025-02-07;CAMPANA LED, PANEL, TUBO LED,;78731270-5;NDU INGENIERIA LTDA;602606.0;602606.0;602606.0;SI;78731270-5|424258|602606.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;424257.0;2025-01-15;2025-02-07;INTERRUPTOR, PANEL, CINTA GOMA, CINTA TEMFLEX;78731270-5;NDU INGENIERIA LTDA;172312.0;172312.0;172312.0;SI;78731270-5|424257|172312.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;661315.0;2025-01-15;2025-02-07;BISAGRA, POLI CERRAD., ELECTRODO, TORNILLOS, PUERTA;76064347-5;FERREVAL LTDA.;630209.0;630209.0;630209.0;SI;76064347-5|661315|630209.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;661316.0;2025-01-15;2025-02-07;BISAGRA, DIMENSIONADO;76064347-5;FERREVAL LTDA.;38202.0;38202.0;38202.0;SI;76064347-5|661316|38202.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;252385.0;2025-01-16;2025-02-07;TORNILLO, GOLILLA, TORNILLOS, TUERCAS;76452633-3;FERRETERIA JARAMILLO LTDA;26675.0;26675.0;26675.0;SI;76452633-3|252385|26675.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;393368.0;2025-01-16;2025-03-20;AVISO PUBLICITARIO;87778800-8;SOCIEDAD PERIODISTICA ARAUCANIA S.A.;307263.0;307263.0;307263.0;SI;87778800-8|393368|307263.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;19345.0;2025-01-17;2025-02-07;CINTA SEGURIDAD, ANTIDESLIZANTE;77585794-3;KUANGYE TECHNOLOGY COMPANY SPA.;244361.0;244361.0;244361.0;SI;77585794-3|19345|244361.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;1153.0;2025-01-21;2025-03-20;PAN ECONOMATO;13849465-9;TAMARA ANDREA CIFUENTES  IGOR;354363.0;354363.0;354363.0;SI;13849465-9|1153|354363.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;1156.0;2025-01-21;2025-03-20;PAN;13849465-9;TAMARA ANDREA CIFUENTES  IGOR;370534.0;370534.0;370534.0;SI;13849465-9|1156|370534.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;1159.0;2025-01-21;2025-03-20;PAN ECONOMATO;13849465-9;TAMARA ANDREA CIFUENTES  IGOR;160029.0;160029.0;160029.0;SI;13849465-9|1159|160029.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;1165.0;2025-01-21;2025-03-20;COFFE PROFESORES;13849465-9;TAMARA ANDREA CIFUENTES  IGOR;104922.0;104922.0;104922.0;SI;13849465-9|1165|104922.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;15351.0;2025-01-22;2025-01-30;CONTROL DE PLAGAS;76021530-9;SOCIEDAD ANTIPLAGAS LTDA;178500.0;178500.0;178500.0;SI;76021530-9|15351|178500.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;3570.0;2025-01-22;2025-03-20;SOPORTE SISTEMA REMUNERACIONES;76745707-3;ABM INGENIERIA SPA;76742.0;76742.0;76742.0;SI;76745707-3|3570|76742.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;804.0;2025-01-23;2025-03-20;DETERGENTE;76999464-5;SOCIEDAD COMERCIAL MOLINA BERROCAL LIMITADA;13770.0;13770.0;13770.0;SI;76999464-5|804|13770.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;253227.0;2025-01-23;2025-02-07;GRAPAS, CLAVOS.;76452633-3;FERRETERIA JARAMILLO LTDA;19009.0;19009.0;19009.0;SI;76452633-3|253227|19009.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;13784749.0;2025-01-23;2025-01-30;VALES DE GAS LICEO PULLINQUE;91806000-6;ABASTECEDORA DE COMBUSTIBLE S.A.;660588.0;660588.0;660588.0;SI;91806000-6|13784749|660588.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;208096.0;2025-01-27;2025-03-04;COMBUSTIBLE VEHICULO;76693438-2;COMERCIAL Y SERVICIOS G Y G LTDA;59319.0;59319.0;59319.0;SI;76693438-2|208096|59319.0
PULLINQUE;2.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;253570.0;2025-01-27;2025-02-07;PUNTAS, ADHESIVO.;76452633-3;FERRETERIA JARAMILLO LTDA;20311.0;20311.0;20311.0;SI;76452633-3|253570|20311.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;8847254.0;2025-01-28;2025-01-28;SEGURO;99061000-2;HDI SEGUROS S.A.;45698.0;45698.0;45698.0;SI;99061000-2|8847254|45698.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;50669619.0;2025-01-28;2025-01-30;IPHONE 14 - IPHONE 13;96806980-2;ENTEL PCS TELECOMUNICACIONES  S.A.;1560970.0;1560970.0;1560970.0;SI;96806980-2|50669619|1560970.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;357659.0;2025-01-29;2025-03-04;SEGURO SALUD;96573600-K;BCI SEGUROS DE VIDA;2182351.0;2182351.0;2182351.0;SI;96573600-K|357659|2182351.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;357899.0;2025-01-29;2025-03-04;SEGURO VIDA;96573600-K;BCI SEGUROS DE VIDA;104541.0;104541.0;104541.0;SI;96573600-K|357899|104541.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;9260113.0;2025-02-01;2025-02-19;ELECTRICIDAD MES DICIEMBRE 2024 - ENERO 2025;76073162-5;SAESA;6765700.0;6765700.0;6765700.0;SI;76073162-5|9260113|6765700.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;40204.0;MEDIA;16844.0;PIE;;FACEL;2263.0;2025-02-01;2025-03-04;ARRIENDO FOTOCOPIADORA;76837901-7;TECNOSERVICIOS INGENIERIA DIGITAL LIMITADA;235649.0;235649.0;235649.0;SI;76837901-7|2263|235649.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;208742.0;2025-02-03;2025-03-04;COMBUSTIBLE VEHICULO;76693438-2;COMERCIAL Y SERVICIOS G Y G LTDA;55522.0;55522.0;55522.0;SI;76693438-2|208742|55522.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;95742.0;2025-02-03;2025-02-03;MAQUINARIA  Y EQUIPO;77534640-K;COMERCIAL MAQUINET LTDA;1166200.0;1166200.0;1166200.0;SI;77534640-K|95742|1166200.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;3323778.0;2025-02-03;2025-02-03;SEGURO VEHICULO;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;480977.0;480977.0;480977.0;SI;96508210-7|3323778|480977.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;3323763.0;2025-02-03;2025-02-03;SEGURO INCENDIO;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;668451.0;668451.0;668451.0;SI;96508210-7|3323763|668451.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;40206.0;MEDIA;16844.0;SEP;;FACEL;13502690.0;2025-02-04;2025-03-20;FIBRA OPTICA;90299000-3;TELEFONICA DEL SUR  S.A.;1507477.0;1507477.0;1507477.0;SI;90299000-3|13502690|1507477.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;1.0;2025-02-04;2025-02-18;ANTICIPO BAÑOS;78097754-K;JCP CONSTRUCCIONES Y COMERCIALIZADORA SPA.;8722007.0;8722007.0;8722007.0;SI;78097754-K|1|8722007.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;2.0;2025-02-04;2025-02-18;ANTICIPO 50% SALA COMPUTACION;78097754-K;JCP CONSTRUCCIONES Y COMERCIALIZADORA SPA.;8420440.0;8420440.0;8420440.0;SI;78097754-K|2|8420440.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;254630.0;2025-02-05;2025-02-07;MANTENCION;76452633-3;FERRETERIA JARAMILLO LTDA;8531.0;8531.0;8531.0;SI;76452633-3|254630|8531.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;115543.0;2025-02-05;2025-03-04;TURNOS;76584218-2;TALANA LINQ SPA;68494.0;68494.0;68494.0;SI;76584218-2|115543|68494.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;114500.0;2025-02-05;2025-03-04;GESTION DE PERSONAS;76584218-2;TALANA LINQ SPA;147947.0;147947.0;147947.0;SI;76584218-2|114500|147947.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;88864.0;2025-02-06;2025-03-20;MANTENCION JARDINERIA;7136299-K;ROBERTO GIUBERGIA MUÑOZ;11995.0;11995.0;11995.0;SI;7136299-K|88864|11995.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;209029.0;2025-02-06;2025-03-04;COMBUSTIBLE VEHICULO;76693438-2;COMERCIAL Y SERVICIOS G Y G LTDA;46503.0;46503.0;46503.0;SI;76693438-2|209029|46503.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;691431.0;2025-02-07;2025-02-07;ARTICULOS COMPUTACIONALES;96775870-1;WEI CHILE S A;12774168.0;12774168.0;12774168.0;SI;96775870-1|691431|12774168.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;532.0;2025-02-09;2025-02-21;REPARACION CALDERA PULLINQUE;77248719-3;SERVICIOS INTEGRALES CRÍTICOS SPA;2083690.0;2083690.0;2083690.0;SI;77248719-3|532|2083690.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;209340.0;2025-02-10;2025-03-04;COMBUSTIBLE VEHICULO;76693438-2;COMERCIAL Y SERVICIOS G Y G LTDA;40773.0;40773.0;40773.0;SI;76693438-2|209340|40773.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;209339.0;2025-02-10;2025-03-04;COMBUSTIBLE VEHICULO;76693438-2;COMERCIAL Y SERVICIOS G Y G LTDA;55623.0;55623.0;55623.0;SI;76693438-2|209339|55623.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;88949.0;2025-02-10;2025-03-20;MANTENCION JARDINERIA;7136299-K;ROBERTO GIUBERGIA MUÑOZ;2900.0;2900.0;2900.0;SI;7136299-K|88949|2900.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;255166.0;2025-02-10;2025-02-10;ARTICULOS MANTENCION;76452633-3;FERRETERIA JARAMILLO LTDA;4115659.0;4115659.0;4115659.0;SI;76452633-3|255166|4115659.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;255147.0;2025-02-10;2025-02-07;INSUMOS MANTENCION;76452633-3;FERRETERIA JARAMILLO LTDA;35883.0;35883.0;35883.0;SI;76452633-3|255147|35883.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;50795195.0;2025-02-10;2025-03-17;MENSUALIDAD SERVICIOS CONTRATADOS;96806980-2;ENTEL PCS TELECOMUNICACIONES  S.A.;86937.0;86937.0;86937.0;SI;96806980-2|50795195|86937.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;427650.0;2025-02-11;2025-02-07;MANTENCION;78731270-5;NDU INGENIERIA LTDA;145984.0;145984.0;145984.0;SI;78731270-5|427650|145984.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;427647.0;2025-02-11;2025-02-07;MANTENCION;78731270-5;NDU INGENIERIA LTDA;596765.0;596765.0;596765.0;SI;78731270-5|427647|596765.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;427645.0;2025-02-11;2025-02-07;PROYECTOR.;78731270-5;SOCIEDAD NDU INGENIERIA LTDA;11199.0;11199.0;11199.0;SI;78731270-5|427645|11199.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;691473.0;2025-02-11;2025-02-11;VIDEO PROYECTOR;96775870-1;WEI CHILE S A;2379405.0;2379405.0;2379405.0;SI;96775870-1|691473|2379405.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;1022523.0;2025-02-12;2025-02-12;PECHERA CHEF, PANTALON CHEF, CHAQUETAS CHEF.;76202425-K;UNIFORM SOLUTIONS CHILE COMERCIAL SPA;601759.0;601759.0;601759.0;SI;76202425-K|1022523|601759.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;1704594.0;2025-02-14;2025-02-14;PIEDRA ASENTAR, CUCHILLOS, PELADOR , PLATOS, ABRELATAS.;86520500-7;JOSE RIVEROS LLAMAZALES  Y CIA LTDA;477819.0;477819.0;477819.0;SI;86520500-7|1704594|477819.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;1368.0;2025-02-15;2025-03-20;LINTERNAS;11129044-K;GUILLERMO CORDERO MOSQUEIRA;180000.0;180000.0;180000.0;SI;11129044-K|1368|180000.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;30701.0;MEDIA;16844.0;SEP;;FACEL;1366.0;2025-02-15;2025-03-20;TALLERES EXTRA PROGRAMATICOS DEPORTES;11129044-K;GUILLERMO CORDERO MOSQUEIRA;798000.0;798000.0;798000.0;SI;11129044-K|1366|798000.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEL;88.0;2025-02-16;2025-03-21;PUBLICIDAD RADIAL;77899827-0;SOCIEDAD RADIODIFUSORA LANCO PILMAIQUEN SPA.;142800.0;142800.0;142800.0;SI;77899827-0|88|142800.0
PULLINQUE;1.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;12680101.0;2025-02-17;;FLETE;76211240-K;TRASNPORTES  , TECNOLOGIA  Y GIROS EGT LTDA;41270.0;41270.0;41270.0;SI;76211240-K|12680101|41270.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;12680096.0;2025-02-17;2025-03-12;FLETE;76211240-K;KAUDAT SPA;57190.0;57190.0;57190.0;SI;76211240-K|12680096|57190.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;706935.0;2025-02-17;2025-03-12;SERVICIO DE ENCOMIENDA;8217668-3;CARLOS ENRIQUE CESPEDES;15200.0;15200.0;15200.0;SI;8217668-3|706935|15200.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;353.0;2025-02-18;2025-03-20;UTILES DE ASEO INTERNADO;77261393-8;BNH INDUSTRIAL SUPPLIES SPA;278222.0;278222.0;278222.0;SI;77261393-8|353|278222.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;354.0;2025-02-18;2025-03-20;UTILES DE ASEO INTERNADO;77261393-8;BNH INDUSTRIAL SUPPLIES SPA;136802.0;136802.0;136802.0;SI;77261393-8|354|136802.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;357.0;2025-02-18;2025-03-20;UTILES DE ASEO  ECONOMATO;77261393-8;BNH INDUSTRIAL SUPPLIES SPA;110301.0;110301.0;110301.0;SI;77261393-8|357|110301.0
PULLINQUE;3.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;INTERNADO;;FACEL;358.0;2025-02-18;2025-03-20;ARTICULOS ASEO INTERNADO;77261393-8;BNH INDUSTRIAL SUPPLIES SPA;144871.0;144871.0;144871.0;SI;77261393-8|358|144871.0
